case_id,epoch,Acc,MacF1,ClickF1
5,0,0.9174107142857143,0.9077465925344642,0.9376053962900506
5,1,0.8995535714285714,0.8778055920913064,0.9293563579277865
5,2,0.9375,0.9305195524537498,0.9525423728813559
5,3,0.9464285714285714,0.9402560455192034,0.9594594594594594
5,4,0.9419642857142857,0.9369792455688533,0.9547038327526133
5,6,0.9241071428571429,0.9168921868179833,0.9413793103448276
5,7,0.9174107142857143,0.9126102520574233,0.9330922242314648
5,8,0.9397321428571429,0.9342833703677544,0.9532062391681109
5,9,0.9464285714285714,0.9402560455192034,0.9594594594594594
5,10,0.9441964285714286,0.9370443443899203,0.9582637729549248
5,11,0.9352678571428571,0.9290112832281507,0.9500860585197934
5,12,0.9419642857142857,0.9358802157877353,0.9556313993174061
5,13,0.9375,0.9321314952279958,0.9512195121951219
1,0,0.8861607142857143,0.8792739954030278,0.9081081081081082
1,1,0.9330357142857143,0.9276719405876654,0.9473684210526315
1,2,0.8839285714285714,0.8773171553758005,0.9057971014492754
1,3,0.9397321428571429,0.932679945903528,0.954468802698145
1,4,0.9174107142857143,0.9029366125018299,0.9404186795491143
1,5,0.9308035714285714,0.9221973860383299,0.948073701842546
1,6,0.9397321428571429,0.9344656643640796,0.9530434782608695
1,7,0.9464285714285714,0.9402560455192034,0.9594594594594594
1,8,0.9241071428571429,0.9194244604316547,0.9388489208633094
1,9,0.9352678571428571,0.930529636660161,0.9486725663716814
1,10,0.890625,0.8831936573815415,0.9126559714795008
1,11,0.9285714285714286,0.9172037794256935,0.9478827361563518
1,12,0.9285714285714286,0.9195528719894055,0.9464882943143813
1,13,0.9352678571428571,0.9290112832281507,0.9500860585197934
1,14,0.9263392857142857,0.917982857618374,0.9441624365482234
1,15,0.9084821428571429,0.8937129300118625,0.9333333333333333
1,16,0.9040178571428571,0.8862642066420665,0.9312
1,17,0.9352678571428571,0.9285898810014566,0.9504273504273504
1,18,0.9263392857142857,0.9194521174874553,0.9430051813471503
1,19,0.9174107142857143,0.9044495299142836,0.9396411092985318
1,20,0.9419642857142857,0.935068120498584,0.9562289562289562
2,0,0.9196428571428571,0.9094969809880811,0.939799331103679
2,1,0.9107142857142857,0.9033065699732367,0.9300699300699301
2,2,0.9397321428571429,0.9320078919411139,0.9549248747913188
2,3,0.9397321428571429,0.9346441249412414,0.9528795811518325
