Epoch,loss,Accuracy,AUC,macro_f1,mic_f1,fake_f1,fake_precision,fake_recall,true_f1,true_precision,true_recall
0,0.556389003741641,0.9073275862068966,0.9623149671052631,0.8981910958030361,0.9073275862068966,0.8676923076923077,0.8545454545454545,0.88125,0.9286898839137645,0.9364548494983278,0.9210526315789473
1,0.4527472332746041,0.9202586206896551,0.9593338815789474,0.908715325595121,0.9202586206896551,0.8762541806020067,0.9424460431654677,0.81875,0.9411764705882353,0.9107692307692308,0.9736842105263158
2,0.423947134438683,0.9418103448275862,0.9795950123446544,0.9347115750415609,0.9418103448275862,0.9131832797427653,0.922077922077922,0.9044585987261147,0.9562398703403565,0.9516129032258065,0.9609120521172638
3,0.40837567168123584,0.9331896551724138,0.9810649671052631,0.9275930633510358,0.9331896551724138,0.9074626865671642,0.8685714285714285,0.95,0.9477234401349073,0.972318339100346,0.9243421052631579
4,0.3978588285566378,0.9439655172413793,0.9875205592105263,0.9376189294283115,0.9439655172413793,0.9177215189873418,0.9294871794871795,0.90625,0.9575163398692811,0.9512987012987013,0.9638157894736842
5,0.391634749514716,0.9396551724137931,0.9819290856656777,0.9312781668535641,0.9396551724137931,0.9072847682119205,0.9448275862068966,0.8726114649681529,0.9552715654952076,0.9373040752351097,0.9739413680781759
6,0.3809616831170411,0.915948275862069,0.9777221004280197,0.9100305764784846,0.915948275862069,0.8869565217391304,0.8052631578947368,0.9870967741935484,0.9331046312178388,0.9927007299270073,0.8802588996763754
7,0.3789333230307122,0.9461206896551724,0.980060549117862,0.9399259431885859,0.9461206896551724,0.9206349206349206,0.90625,0.9354838709677419,0.9592169657422512,0.9671052631578947,0.9514563106796117
8,0.37126936832395924,0.9288793103448276,0.958111164132036,0.9185839390442971,0.9288793103448276,0.8896321070234113,0.9366197183098591,0.8471337579617835,0.9475357710651828,0.9254658385093167,0.9706840390879479
9,0.36353498972764536,0.9396551724137931,0.9529453131463556,0.9315114709851553,0.9396551724137931,0.9078947368421053,0.9452054794520548,0.8734177215189873,0.9551282051282052,0.9371069182389937,0.9738562091503268
10,0.36410118551815257,0.9418103448275862,0.9712857113218116,0.9345013096601158,0.9418103448275862,0.912621359223301,0.9276315789473685,0.8980891719745223,0.9563812600969306,0.9487179487179487,0.9641693811074918
11,0.3720969056882778,0.9353448275862069,0.979377165501359,0.9268646365298532,0.9353448275862069,0.9019607843137255,0.9261744966442953,0.8789808917197452,0.9517684887459807,0.9396825396825397,0.9641693811074918
