Epoch,loss,Accuracy,AUC,macro_f1,mic_f1,fake_f1,fake_precision,fake_recall,true_f1,true_precision,true_recall
0,0.5821663068623102,0.8642241379310345,0.966240721997301,0.856598331101267,0.8642241379310345,0.8235294117647058,0.7170731707317073,0.9671052631578947,0.8896672504378283,0.9806949806949807,0.8141025641025641
1,0.4927207644747085,0.8254310344827587,0.9788714574898786,0.819660568023147,0.8254310344827587,0.7874015748031497,0.6550218340611353,0.9868421052631579,0.8519195612431444,0.9914893617021276,0.7467948717948718
2,0.4644761328436747,0.9288793103448276,0.9687704970061146,0.9173963003123533,0.9288793103448276,0.8865979381443299,0.9214285714285714,0.8543046357615894,0.9481946624803768,0.9320987654320988,0.9648562300319489
3,0.4422736809033306,0.9137931034482759,0.9666477523485278,0.9040291221974022,0.9137931034482759,0.8734177215189873,0.8466257668711656,0.9019607843137255,0.934640522875817,0.9501661129568106,0.9196141479099679
4,0.43187355394122984,0.7564655172413793,0.964798352352731,0.7541531666283743,0.7564655172413793,0.7303102625298329,0.575187969924812,1.0,0.7779960707269156,1.0,0.6366559485530546
5,0.4246882327965328,0.9310344827586207,0.9510119160204273,0.921460762118359,0.9310344827586207,0.8940397350993378,0.9060402684563759,0.8823529411764706,0.9488817891373802,0.9428571428571428,0.954983922829582
6,0.41116600828010497,0.9353448275862069,0.9317193115188198,0.9261146496815287,0.9353448275862069,0.9,0.9183673469387755,0.8823529411764706,0.9522292993630573,0.943217665615142,0.9614147909967846
7,0.40997589160414305,0.9288793103448276,0.9753500337381916,0.919684023352059,0.9288793103448276,0.8925081433224755,0.8838709677419355,0.9013157894736842,0.9468599033816425,0.9514563106796117,0.9423076923076923
8,0.40105566056836556,0.9245689655172413,0.9802335456475584,0.9153668565353568,0.9245689655172413,0.887459807073955,0.8571428571428571,0.92,0.9432739059967585,0.9603960396039604,0.9267515923566879
9,0.3990546074234137,0.9396551724137931,0.9789694176790951,0.9297805642633229,0.9396551724137931,0.903448275862069,0.9632352941176471,0.8506493506493507,0.9561128526645768,0.9298780487804879,0.9838709677419355
10,0.3908669182232448,0.9245689655172413,0.9822874493927125,0.9156341723161641,0.9245689655172413,0.8881789137380192,0.8633540372670807,0.9144736842105263,0.943089430894309,0.9570957095709571,0.9294871794871795
11,0.3815365170731264,0.9504310344827587,0.9796305668016196,0.9434527121185627,0.9504310344827587,0.9235880398671097,0.9328859060402684,0.9144736842105263,0.9633173843700159,0.9587301587301588,0.967948717948718
12,0.3775479387836296,0.9267241379310345,0.9733784581646425,0.9186720280441283,0.9267241379310345,0.8930817610062893,0.8554216867469879,0.9342105263157895,0.9442622950819672,0.9664429530201343,0.9230769230769231
13,0.37508636713027954,0.9396551724137931,0.9567239212400502,0.9312781668535641,0.9396551724137931,0.9072847682119205,0.9256756756756757,0.8896103896103896,0.9552715654952076,0.9462025316455697,0.964516129032258
14,0.36955077983752016,0.9353448275862069,0.970764331210191,0.9255901471091345,0.9353448275862069,0.8986486486486487,0.910958904109589,0.8866666666666667,0.9525316455696202,0.9465408805031447,0.9585987261146497
15,0.370683534806516,0.9288793103448276,0.9684819532908705,0.9140002358927699,0.9288793103448276,0.8782287822878229,0.9834710743801653,0.7933333333333333,0.9497716894977168,0.9096209912536443,0.9936305732484076
16,0.371949547980012,0.9375,0.9772607864153164,0.9300968856333931,0.9375,0.9073482428115016,0.8875,0.9281045751633987,0.9528455284552846,0.9638157894736842,0.9421221864951769
17,0.3613784588685557,0.9504310344827587,0.9714701417004049,0.9432554726672374,0.9504310344827587,0.9230769230769231,0.9387755102040817,0.9078947368421053,0.9634340222575517,0.9558359621451105,0.9711538461538461
18,0.3581310072365929,0.9353448275862069,0.9714999047881007,0.9277993319363472,0.9353448275862069,0.9044585987261147,0.8711656441717791,0.9403973509933775,0.9511400651465798,0.9700996677740864,0.9329073482428115
19,0.3690940033988792,0.8879310344827587,0.9623184750856398,0.8796080075045407,0.8879310344827587,0.847953216374269,0.7671957671957672,0.9477124183006536,0.9112627986348123,0.9709090909090909,0.8585209003215434
20,0.36160728610864207,0.3275862068965517,0.9158759278002699,0.24675324675324675,0.3275862068965517,0.4935064935064935,0.3275862068965517,1.0,0.0,0.0,0.0
21,0.3604615941768935,0.9288793103448276,0.9459978070175439,0.9191445544554455,0.9288793103448276,0.8910891089108911,0.8940397350993378,0.8881578947368421,0.9472,0.9456869009584664,0.9487179487179487
22,0.3613683731616044,0.9288793103448276,0.9720698568816595,0.919684023352059,0.9288793103448276,0.8925081433224755,0.8896103896103896,0.8954248366013072,0.9468599033816425,0.9483870967741935,0.9453376205787781
23,0.35291460807583913,0.8922413793103449,0.9751602564102564,0.8845173622172666,0.8922413793103449,0.8546511627906976,0.765625,0.9671052631578947,0.9143835616438356,0.9816176470588235,0.8557692307692307
24,0.34997508380593373,0.9396551724137931,0.9788332635106829,0.9319648093841642,0.9396551724137931,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9548387096774194,0.9548387096774194,0.9548387096774194
25,0.34856203423828636,0.9288793103448276,0.9723325557446989,0.9194168881404099,0.9288793103448276,0.8918032786885246,0.8947368421052632,0.8888888888888888,0.9470304975922953,0.9455128205128205,0.9485530546623794
26,0.3418877229971044,0.3275862068965517,0.9546432186234818,0.24675324675324675,0.3275862068965517,0.4935064935064935,0.3275862068965517,1.0,0.0,0.0,0.0
27,0.34017826128406686,0.9310344827586207,0.9650397989107666,0.9219889456318433,0.9310344827586207,0.8954248366013072,0.9013157894736842,0.8896103896103896,0.9485530546623794,0.9455128205128205,0.9516129032258065
28,0.33832949900827486,0.9353448275862069,0.977216177462888,0.9263694644859616,0.9353448275862069,0.9006622516556292,0.9066666666666666,0.8947368421052632,0.952076677316294,0.9490445859872612,0.9551282051282052
29,0.3378325042103519,0.9375,0.9754503560955173,0.9289452145214521,0.9375,0.9042904290429042,0.9194630872483222,0.8896103896103896,0.9536,0.946031746031746,0.9612903225806452
